Title,Rating,Genres,Tags,Url,Popularity,TagsGenres
Between Earth and Sky (2018) ,5.7,"Crime, Drama, Horror            ","['girlfriend', 'dysfunctional family', 'reference to ballet', 'teenage girls', 'schoolmate']",https://www.imdb.com//title/tt7945440/,125,"crime,drama,horror,girlfriend,dysfunctional family,reference to ballet,teenage girls,schoolmate,"
The Witches (2020) ,None,"Adventure, Comedy, Family            ","['witch', 'european literature on screen', 'remake of european film', 'american remake of european film', 'american remake']",https://www.imdb.com//title/tt0805647/,125,"adventure,comedy,family,witch,european literature on screen,remake of european film,american remake of european film,american remake,"
The Wolf of Snow Hollow (2020) ,6.2,"Comedy, Horror, Thriller            ",['mountain'],https://www.imdb.com//title/tt11140488/,125,"comedy,horror,thriller,mountain,"
The Invisible Man (I) (2020) ,7.1,"Horror, Mystery, Sci-Fi            ","['domestic abuse', 'psychological abuse', 'throat slitting', 'invisibility', 'mad scientist']",https://www.imdb.com//title/tt1051906/,125,"horror,mystery,sci-fi,domestic abuse,psychological abuse,throat slitting,invisibility,mad scientist,"
The Witches (1990) ,6.8,"Adventure, Comedy, Family            ","['witch', 'little boy', 'hotel', 'mouse', 'metamorphosis']",https://www.imdb.com//title/tt0100944/,125,"adventure,comedy,family,witch,little boy,hotel,mouse,metamorphosis,"
Nocturne (II) (2020) ,5.6,"Horror, Mystery, Thriller            ","['pianist', 'period', 'eye close up', 'suicide', 'pass out']",https://www.imdb.com//title/tt11044858/,125,"horror,mystery,thriller,pianist,period,eye close up,suicide,pass out,"
Black Box (II) (2020) ,6.1,"Horror, Mystery, Sci-Fi            ","['father holding his baby', 'strangled', 'father daughter relationship', 'punching a hole in a wall', 'dropping a child off at school']",https://www.imdb.com//title/tt12298506/,125,"horror,mystery,sci-fi,father holding his baby,strangled,father daughter relationship,punching a hole in a wall,dropping a child off at school,"
Doctor Sleep (2019) ,7.3,"Drama, Fantasy, Horror            ","['based on the works of stephen king', 'hat', 'blackboard', 'vampire', 'second part']",https://www.imdb.com//title/tt5606664/,125,"drama,fantasy,horror,based on the works of stephen king,hat,blackboard,vampire,second part,"
Halloween (1978) ,7.8,"Horror, Thriller            ","['halloween', 'year 1978', 'babysitting', 'stabbed to death', 'knife murder']",https://www.imdb.com//title/tt0077651/,125,"horror,thriller,halloween,year 1978,babysitting,stabbed to death,knife murder,"
Scream (1996) ,7.2,"Horror, Mystery            ","['slasher', 'serial killer', 'masked killer', 'mystery killer', 'whodunit']",https://www.imdb.com//title/tt0117571/,125,"horror,mystery,slasher,serial killer,masked killer,mystery killer,whodunit,"
The Addams Family (2019) ,5.8,"Animation, Comedy, Family            ","['wedding', 'cgi animation', 'lion', 'grandmother', 'reboot']",https://www.imdb.com//title/tt1620981/,125,"animation,comedy,family,wedding,cgi animation,lion,grandmother,reboot,"
The Babysitter: Killer Queen (2020) ,5.8,"Comedy, Horror            ","['cult', '2020s', '2020', 'netflix', 'deal with the devil']",https://www.imdb.com//title/tt11024272/,125,"comedy,horror,cult,2020s,2020,netflix,deal with the devil,"
Vampires vs. the Bronx (2020) ,5.4,"Comedy, Horror            ","['fight', 'vampire', 'the bronx', 'new york city', 'horror comedy']",https://www.imdb.com//title/tt8976576/,125,"comedy,horror,fight,vampire,the bronx,new york city,horror comedy,"
Sleepy Hollow (1999) ,7.3,"Fantasy, Horror, Mystery            ","['murder', 'headless horseman', 'investigation', 'sword', 'legend']",https://www.imdb.com//title/tt0162661/,125,"fantasy,horror,mystery,murder,headless horseman,investigation,sword,legend,"
Midsommar (2019) ,7.1,"Drama, Horror, Mystery            ","['religious cult', 'cult', 'grief', 'summer festival', 'sweden']",https://www.imdb.com//title/tt8772262/,125,"drama,horror,mystery,religious cult,cult,grief,summer festival,sweden,"
Evil Eye (II) (2020) ,4.6,"Horror, Mystery, Thriller            ",[],https://www.imdb.com//title/tt12882620/,125,"horror,mystery,thriller,"
Saint Maud (2019) ,7.1,"Drama, Horror, Mystery            ","['nurse', 'dying patient', 'title directed by female', 'horror directed by woman', 'obsession']",https://www.imdb.com//title/tt7557108/,125,"drama,horror,mystery,nurse,dying patient,title directed by female,horror directed by woman,obsession,"
Scream 5 (2022) ,None,"Horror, Mystery, Thriller            ",['woman'],https://www.imdb.com//title/tt11245972/,125,"horror,mystery,thriller,woman,"
Antebellum (2020) ,5.5,"Drama, Horror, Mystery            ","['slave', 'forced sex', 'lipstick', 'kidnapping', 'fight']",https://www.imdb.com//title/tt10065694/,125,"drama,horror,mystery,slave,forced sex,lipstick,kidnapping,fight,"
Friday the 13th (1980) ,6.5,"Horror, Mystery, Thriller            ","['jason voorhees', 'murder', 'serial killer', 'serial murderer', 'lake']",https://www.imdb.com//title/tt0080761/,125,"horror,mystery,thriller,jason voorhees,murder,serial killer,serial murderer,lake,"
Hereditary (2018) ,7.3,"Drama, Horror, Mystery            ","['anaphylaxis', 'psychological horror', 'decapitation', 'cult', 'support group']",https://www.imdb.com//title/tt7784604/,124,"drama,horror,mystery,anaphylaxis,psychological horror,decapitation,cult,support group,"
The Shining (1980) ,8.4,"Drama, Horror            ","['haunted hotel', 'labyrinth', 'identical twins', 'hotel', 'snow']",https://www.imdb.com//title/tt0081505/,124,"drama,horror,haunted hotel,labyrinth,identical twins,hotel,snow,"
It (I) (2017) ,7.3,Horror            ,"['killer clown', 'based on novel', 'evil clown', 'balloon', 'supernatural power']",https://www.imdb.com//title/tt1396484/,124,"horror,killer clown,based on novel,evil clown,balloon,supernatural power,"
The Mortuary Collection (2019) ,6.7,"Fantasy, Horror            ",['office'],https://www.imdb.com//title/tt7781432/,124,"fantasy,horror,office,"
The Babysitter (I) (2017) ,6.3,"Comedy, Horror            ","['lesbian kiss', 'bully', 'egging a house', 'babysitter', 'car theft']",https://www.imdb.com//title/tt4225622/,124,"comedy,horror,lesbian kiss,bully,egging a house,babysitter,car theft,"
House of 1000 Corpses (2003) ,6.1,Horror            ,"['depravity', 'masked man', 'giant', 'clown face', 'dark comedy']",https://www.imdb.com//title/tt0251736/,124,"horror,depravity,masked man,giant,clown face,dark comedy,"
The Craft (1996) ,6.4,"Drama, Fantasy, Horror            ","['witch', 'witchcraft', 'invocation', 'bewitched', 'spell']",https://www.imdb.com//title/tt0115963/,124,"drama,fantasy,horror,witch,witchcraft,invocation,bewitched,spell,"
The New Mutants (2020) ,5.5,"Action, Horror, Sci-Fi            ","['blonde', 'leggy girl', 'thin', 'girl with long hair', 'blondie']",https://www.imdb.com//title/tt4682266/,124,"action,horror,sci-fi,blonde,leggy girl,thin,girl with long hair,blondie,"
Get Out (I) (2017) ,7.7,"Horror, Mystery, Thriller            ","['hypnosis', 'racism', 'neurosurgeon', 'abduction', 'brain surgery']",https://www.imdb.com//title/tt5052448/,124,"horror,mystery,thriller,hypnosis,racism,neurosurgeon,abduction,brain surgery,"
Gerald's Game (2017) ,6.6,"Drama, Horror, Thriller            ","['based on novel', 'fight for survival', 'hallucination', 'survival', 'handcuffed to a bed']",https://www.imdb.com//title/tt3748172/,124,"drama,horror,thriller,based on novel,fight for survival,hallucination,survival,handcuffed to a bed,"
The Lighthouse (I) (2019) ,7.5,"Drama, Fantasy, Horror            ","['mermaid', 'lighthouse', 'hallucination', 'sex with a mermaid', 'lighthouse keeper']",https://www.imdb.com//title/tt7984734/,124,"drama,fantasy,horror,mermaid,lighthouse,hallucination,sex with a mermaid,lighthouse keeper,"
Ghost Ship (2002) ,5.5,Horror            ,"['ghost ship', 'characters murdered one by one', 'evil spirit', 'death trap', 'reference to the bering straits']",https://www.imdb.com//title/tt0288477/,124,"horror,ghost ship,characters murdered one by one,evil spirit,death trap,reference to the bering straits,"
Trick 'r Treat (2007) ,6.8,"Comedy, Horror            ","['werewolf', 'halloween', 'serial killer', 'woods', 'mask']",https://www.imdb.com//title/tt0862856/,124,"comedy,horror,werewolf,halloween,serial killer,woods,mask,"
The Cabin in the Woods (2011) ,7.0,Horror            ,"['cabin in the woods', 'interrupted sex', 'girl stripped down to panties', 'lovecraftian', 'oral sex']",https://www.imdb.com//title/tt1259521/,124,"horror,cabin in the woods,interrupted sex,girl stripped down to panties,lovecraftian,oral sex,"
Fantasy Island (2020) ,4.9,"Action, Adventure, Fantasy            ","['gay character', 'chest tattoo', 'beach party', 'island', 'revenge']",https://www.imdb.com//title/tt0983946/,124,"action,adventure,fantasy,gay character,chest tattoo,beach party,island,revenge,"
Ready or Not (I) (2019) ,6.8,"Comedy, Horror, Mystery            ","['hide and seek', 'evil rich family', 'shot in the hand', 'most dangerous game', 'satanic ritual']",https://www.imdb.com//title/tt7798634/,124,"comedy,horror,mystery,hide and seek,evil rich family,shot in the hand,most dangerous game,satanic ritual,"
A Nightmare on Elm Street (1984) ,7.5,Horror            ,"['serial killer', 'slasher', 'freddy krueger', 'sleep deprivation', 'murder']",https://www.imdb.com//title/tt0087800/,124,"horror,serial killer,slasher,freddy krueger,sleep deprivation,murder,"
Halloween (I) (2018) ,6.5,"Crime, Horror, Thriller            ","['masked murderer', 'trick or treating', 'slasher killer', 'serial murder', 'violence']",https://www.imdb.com//title/tt1502407/,124,"crime,horror,thriller,masked murderer,trick or treating,slasher killer,serial murder,violence,"
The Conjuring (2013) ,7.5,"Horror, Mystery, Thriller            ","['ghost', 'exorcism', 'haunted house', 'possession', 'paranormal investigation']",https://www.imdb.com//title/tt1457767/,124,"horror,mystery,thriller,ghost,exorcism,haunted house,possession,paranormal investigation,"
It Chapter Two (2019) ,6.5,"Drama, Fantasy, Horror            ","['killer clown', 'evil clown', 'sequel', 'clown', 'evil']",https://www.imdb.com//title/tt7349950/,124,"drama,fantasy,horror,killer clown,evil clown,sequel,clown,evil,"
The Empty Man (2020) ,None,"Crime, Drama, Horror            ","['boom studios', 'based on comic book', 'based on comic', 'cop', 'based on graphic novel']",https://www.imdb.com//title/tt5867314/,123,"crime,drama,horror,boom studios,based on comic book,based on comic,cop,based on graphic novel,"
Overlord (2018) ,6.6,"Action, Adventure, Horror            ","['world war two', 'supernatural power', 'nazi', 'year 1944', 'nazi occultism']",https://www.imdb.com//title/tt4530422/,123,"action,adventure,horror,world war two,supernatural power,nazi,year 1944,nazi occultism,"
Thir13en Ghosts (2001) ,5.6,"Fantasy, Horror            ","['ghost', 'glass house', 'body count', 'collector', 'characters murdered one by one']",https://www.imdb.com//title/tt0245674/,123,"fantasy,horror,ghost,glass house,body count,collector,characters murdered one by one,"
The Exorcist (1973) ,8.0,Horror            ,"['exorcist', 'exorcism', 'demonic possession', 'demonic force', 'priest']",https://www.imdb.com//title/tt0070047/,123,"horror,exorcist,exorcism,demonic possession,demonic force,priest,"
Us (II) (2019) ,6.9,"Horror, Mystery, Thriller            ","['hall of mirrors', 'scissors', 'year 1986', 'evil twin', 'doppelganger']",https://www.imdb.com//title/tt6857112/,123,"horror,mystery,thriller,hall of mirrors,scissors,year 1986,evil twin,doppelganger,"
Poltergeist (1982) ,7.3,"Horror, Thriller            ","['cult classic', 'house', 'ghost', 'paranormal investigator', 'voyeur']",https://www.imdb.com//title/tt0084516/,123,"horror,thriller,cult classic,house,ghost,paranormal investigator,voyeur,"
Alien (1979) ,8.4,"Horror, Sci-Fi            ","['alien', 'spaceship', 'outer space', 'creature', 'female protagonist']",https://www.imdb.com//title/tt0078748/,123,"horror,sci-fi,alien,spaceship,outer space,creature,female protagonist,"
The Turning (2020) ,3.8,"Drama, Horror, Mystery            ","['nanny', 'haunted house', 'haunted mansion', 'ghost', 'malevolent spirit']",https://www.imdb.com//title/tt7510346/,123,"drama,horror,mystery,nanny,haunted house,haunted mansion,ghost,malevolent spirit,"
The Thing (1982) ,8.1,"Horror, Mystery, Sci-Fi            ","['antarctica', 'isolation', 'body horror', 'paranoia', 'alien creature']",https://www.imdb.com//title/tt0084787/,123,"horror,mystery,sci-fi,antarctica,isolation,body horror,paranoia,alien creature,"
Alone (XXI) (2020) ,4.9,"Horror, Thriller            ",['apartment'],https://www.imdb.com//title/tt10192566/,123,"horror,thriller,apartment,"
The Hunt (II) (2020) ,6.5,"Action, Horror, Thriller            ","['gun', 'hunting humans', 'reference to animal farm the novel', 'satire', 'female ceo']",https://www.imdb.com//title/tt8244784/,123,"action,horror,thriller,gun,hunting humans,reference to animal farm the novel,satire,female ceo,"
Possessor (2020) ,6.5,"Horror, Sci-Fi, Thriller            ","['male nudity', 'dystopia', 'written by director', 'one word title', 'stabbed with a needle']",https://www.imdb.com//title/tt5918982/,123,"horror,sci-fi,thriller,male nudity,dystopia,written by director,one word title,stabbed with a needle,"
Dracula (1992) ,7.4,Horror            ,"['dracula', 'vampire', 'monster sex', 'female vampire', 'sex scene']",https://www.imdb.com//title/tt0103874/,123,"horror,dracula,vampire,monster sex,female vampire,sex scene,"
Scream 4 (2011) ,6.1,"Horror, Mystery            ","['woman in jeopardy', 'mysterious killer', 'red dress', 'bound and gagged', 'exposed intestines']",https://www.imdb.com//title/tt1262416/,123,"horror,mystery,woman in jeopardy,mysterious killer,red dress,bound and gagged,exposed intestines,"
Venom: Let There Be Carnage (2021) ,None,"Action, Horror, Sci-Fi            ","['marvel comics', 'based on comic', 'superhero', 'second part', 'sequel']",https://www.imdb.com//title/tt7097896/,123,"action,horror,sci-fi,marvel comics,based on comic,superhero,second part,sequel,"
House of Wax (2005) ,5.3,"Horror, Thriller            ","['wax', 'group of friends', 'brother sister relationship', 'beaten to death', 'bra']",https://www.imdb.com//title/tt0397065/,123,"horror,thriller,wax,group of friends,brother sister relationship,beaten to death,bra,"
The Haunted Mansion (2003) ,5.0,"Comedy, Family, Fantasy            ","['haunted house', 'ghost', 'thunderstorm', 'crystal ball', 'arachnophobia']",https://www.imdb.com//title/tt0338094/,123,"comedy,family,fantasy,haunted house,ghost,thunderstorm,crystal ball,arachnophobia,"
The VVitch: A New-England Folktale (2015) ,6.9,"Drama, Horror, Mystery            ","['witch', 'goat', 'black magic', 'death', 'rabbit']",https://www.imdb.com//title/tt4263482/,123,"drama,horror,mystery,witch,goat,black magic,death,rabbit,"
The Craft: Legacy (2020) ,None,"Drama, Fantasy, Horror            ","['horror directed by woman', 'directed by women', 'sequel', 'witch', 'witchcraft']",https://www.imdb.com//title/tt4685762/,123,"drama,fantasy,horror,horror directed by woman,directed by women,sequel,witch,witchcraft,"
Psycho (1960) ,8.5,"Horror, Mystery, Thriller            ","['motel', 'shower', 'money', 'dragging a dead body', 'carrying a dead body']",https://www.imdb.com//title/tt0054215/,123,"horror,mystery,thriller,motel,shower,money,dragging a dead body,carrying a dead body,"
You Should Have Left (2020) ,5.3,"Drama, Horror, Mystery            ","['nightmare', 'loop', 'spatial loop', 'black house', 'murder']",https://www.imdb.com//title/tt8201852/,122,"drama,horror,mystery,nightmare,loop,spatial loop,black house,murder,"
