Title,Rating,Genres,Tags,Url
Between Earth and Sky (2018) ,5.7,"Crime, Drama, Horror            ","['girlfriend', 'dysfunctional family', 'reference to ballet', 'teenage girls', 'schoolmate']",https://www.imdb.com//title/tt7945440/
The Witches (2020) ,None,"Adventure, Comedy, Family            ","['witch', 'european literature on screen', 'remake of european film', 'american remake of european film', 'american remake']",https://www.imdb.com//title/tt0805647/
The Wolf of Snow Hollow (2020) ,6.2,"Comedy, Horror, Thriller            ",['mountain'],https://www.imdb.com//title/tt11140488/
The Invisible Man (I) (2020) ,7.1,"Horror, Mystery, Sci-Fi            ","['domestic abuse', 'psychological abuse', 'throat slitting', 'invisibility', 'mad scientist']",https://www.imdb.com//title/tt1051906/
The Witches (1990) ,6.8,"Adventure, Comedy, Family            ","['witch', 'little boy', 'hotel', 'mouse', 'metamorphosis']",https://www.imdb.com//title/tt0100944/
Nocturne (II) (2020) ,5.6,"Horror, Mystery, Thriller            ","['pianist', 'period', 'eye close up', 'suicide', 'pass out']",https://www.imdb.com//title/tt11044858/
Black Box (II) (2020) ,6.1,"Horror, Mystery, Sci-Fi            ","['father holding his baby', 'strangled', 'father daughter relationship', 'punching a hole in a wall', 'dropping a child off at school']",https://www.imdb.com//title/tt12298506/
Doctor Sleep (2019) ,7.3,"Drama, Fantasy, Horror            ","['based on the works of stephen king', 'hat', 'blackboard', 'vampire', 'second part']",https://www.imdb.com//title/tt5606664/
Halloween (1978) ,7.8,"Horror, Thriller            ","['halloween', 'year 1978', 'babysitting', 'stabbed to death', 'knife murder']",https://www.imdb.com//title/tt0077651/
Scream (1996) ,7.2,"Horror, Mystery            ","['slasher', 'serial killer', 'masked killer', 'mystery killer', 'whodunit']",https://www.imdb.com//title/tt0117571/
The Addams Family (2019) ,5.8,"Animation, Comedy, Family            ","['wedding', 'cgi animation', 'lion', 'grandmother', 'reboot']",https://www.imdb.com//title/tt1620981/
The Babysitter: Killer Queen (2020) ,5.8,"Comedy, Horror            ","['cult', '2020s', '2020', 'netflix', 'deal with the devil']",https://www.imdb.com//title/tt11024272/
Vampires vs. the Bronx (2020) ,5.4,"Comedy, Horror            ","['fight', 'vampire', 'the bronx', 'new york city', 'horror comedy']",https://www.imdb.com//title/tt8976576/
Sleepy Hollow (1999) ,7.3,"Fantasy, Horror, Mystery            ","['murder', 'headless horseman', 'investigation', 'sword', 'legend']",https://www.imdb.com//title/tt0162661/
Midsommar (2019) ,7.1,"Drama, Horror, Mystery            ","['religious cult', 'cult', 'grief', 'summer festival', 'sweden']",https://www.imdb.com//title/tt8772262/
Evil Eye (II) (2020) ,4.6,"Horror, Mystery, Thriller            ",[],https://www.imdb.com//title/tt12882620/
Saint Maud (2019) ,7.1,"Drama, Horror, Mystery            ","['nurse', 'dying patient', 'title directed by female', 'horror directed by woman', 'obsession']",https://www.imdb.com//title/tt7557108/
Scream 5 (2022) ,None,"Horror, Mystery, Thriller            ",['woman'],https://www.imdb.com//title/tt11245972/
Antebellum (2020) ,5.5,"Drama, Horror, Mystery            ","['slave', 'forced sex', 'lipstick', 'kidnapping', 'fight']",https://www.imdb.com//title/tt10065694/
Friday the 13th (1980) ,6.5,"Horror, Mystery, Thriller            ","['jason voorhees', 'murder', 'serial killer', 'serial murderer', 'lake']",https://www.imdb.com//title/tt0080761/
Hereditary (2018) ,7.3,"Drama, Horror, Mystery            ","['anaphylaxis', 'psychological horror', 'decapitation', 'cult', 'support group']",https://www.imdb.com//title/tt7784604/
The Shining (1980) ,8.4,"Drama, Horror            ","['haunted hotel', 'labyrinth', 'identical twins', 'hotel', 'snow']",https://www.imdb.com//title/tt0081505/
It (I) (2017) ,7.3,Horror            ,"['killer clown', 'based on novel', 'evil clown', 'balloon', 'supernatural power']",https://www.imdb.com//title/tt1396484/
The Mortuary Collection (2019) ,6.7,"Fantasy, Horror            ",['office'],https://www.imdb.com//title/tt7781432/
The Babysitter (I) (2017) ,6.3,"Comedy, Horror            ","['lesbian kiss', 'bully', 'egging a house', 'babysitter', 'car theft']",https://www.imdb.com//title/tt4225622/
House of 1000 Corpses (2003) ,6.1,Horror            ,"['depravity', 'masked man', 'giant', 'clown face', 'dark comedy']",https://www.imdb.com//title/tt0251736/
The Craft (1996) ,6.4,"Drama, Fantasy, Horror            ","['witch', 'witchcraft', 'invocation', 'bewitched', 'spell']",https://www.imdb.com//title/tt0115963/
The New Mutants (2020) ,5.5,"Action, Horror, Sci-Fi            ","['blonde', 'leggy girl', 'thin', 'girl with long hair', 'blondie']",https://www.imdb.com//title/tt4682266/
Get Out (I) (2017) ,7.7,"Horror, Mystery, Thriller            ","['hypnosis', 'racism', 'neurosurgeon', 'abduction', 'brain surgery']",https://www.imdb.com//title/tt5052448/
Gerald's Game (2017) ,6.6,"Drama, Horror, Thriller            ","['based on novel', 'fight for survival', 'hallucination', 'survival', 'handcuffed to a bed']",https://www.imdb.com//title/tt3748172/
The Lighthouse (I) (2019) ,7.5,"Drama, Fantasy, Horror            ","['mermaid', 'lighthouse', 'hallucination', 'sex with a mermaid', 'lighthouse keeper']",https://www.imdb.com//title/tt7984734/
Ghost Ship (2002) ,5.5,Horror            ,"['ghost ship', 'characters murdered one by one', 'evil spirit', 'death trap', 'reference to the bering straits']",https://www.imdb.com//title/tt0288477/
Trick 'r Treat (2007) ,6.8,"Comedy, Horror            ","['werewolf', 'halloween', 'serial killer', 'woods', 'mask']",https://www.imdb.com//title/tt0862856/
The Cabin in the Woods (2011) ,7.0,Horror            ,"['cabin in the woods', 'interrupted sex', 'girl stripped down to panties', 'lovecraftian', 'oral sex']",https://www.imdb.com//title/tt1259521/
Fantasy Island (2020) ,4.9,"Action, Adventure, Fantasy            ","['gay character', 'chest tattoo', 'beach party', 'island', 'revenge']",https://www.imdb.com//title/tt0983946/
Ready or Not (I) (2019) ,6.8,"Comedy, Horror, Mystery            ","['hide and seek', 'evil rich family', 'shot in the hand', 'most dangerous game', 'satanic ritual']",https://www.imdb.com//title/tt7798634/
A Nightmare on Elm Street (1984) ,7.5,Horror            ,"['serial killer', 'slasher', 'freddy krueger', 'sleep deprivation', 'murder']",https://www.imdb.com//title/tt0087800/
Halloween (I) (2018) ,6.5,"Crime, Horror, Thriller            ","['masked murderer', 'trick or treating', 'slasher killer', 'serial murder', 'violence']",https://www.imdb.com//title/tt1502407/
The Conjuring (2013) ,7.5,"Horror, Mystery, Thriller            ","['ghost', 'exorcism', 'haunted house', 'possession', 'paranormal investigation']",https://www.imdb.com//title/tt1457767/
It Chapter Two (2019) ,6.5,"Drama, Fantasy, Horror            ","['killer clown', 'evil clown', 'sequel', 'clown', 'evil']",https://www.imdb.com//title/tt7349950/
The Empty Man (2020) ,None,"Crime, Drama, Horror            ","['boom studios', 'based on comic book', 'based on comic', 'cop', 'based on graphic novel']",https://www.imdb.com//title/tt5867314/
Overlord (2018) ,6.6,"Action, Adventure, Horror            ","['world war two', 'supernatural power', 'nazi', 'year 1944', 'nazi occultism']",https://www.imdb.com//title/tt4530422/
Thir13en Ghosts (2001) ,5.6,"Fantasy, Horror            ","['ghost', 'glass house', 'body count', 'collector', 'characters murdered one by one']",https://www.imdb.com//title/tt0245674/
The Exorcist (1973) ,8.0,Horror            ,"['exorcist', 'exorcism', 'demonic possession', 'demonic force', 'priest']",https://www.imdb.com//title/tt0070047/
