Title,Rating,Genres,Url
The Witches (2020) ,None,"Adventure, Comedy, Family            ",www.imdb.com/title/tt0805647/
The Witches (1990) ,6.8,"Adventure, Comedy, Family            ",www.imdb.com/title/tt0100944/
Vampires vs. the Bronx (2020) ,5.4,"Comedy, Horror            ",www.imdb.com/title/tt8976576/
Between Earth and Sky (2018) ,5.7,"Crime, Drama, Horror            ",www.imdb.com/title/tt7945440/
The Invisible Man (I) (2020) ,7.1,"Horror, Mystery, Sci-Fi            ",www.imdb.com/title/tt1051906/
Black Box (II) (2020) ,6.0,"Horror, Mystery, Sci-Fi            ",www.imdb.com/title/tt12298506/
Antebellum (2020) ,5.5,"Drama, Horror, Mystery            ",www.imdb.com/title/tt10065694/
Death of Me (2020) ,4.3,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt1830643/
The Babysitter: Killer Queen (2020) ,5.8,"Comedy, Horror            ",www.imdb.com/title/tt11024272/
The Wolf of Snow Hollow (2020) ,6.2,"Comedy, Horror, Thriller            ",www.imdb.com/title/tt11140488/
The Addams Family (2019) ,5.8,"Animation, Comedy, Family            ",www.imdb.com/title/tt1620981/
Halloween (1978) ,7.8,"Horror, Thriller            ",www.imdb.com/title/tt0077651/
The Craft: Legacy (2020) ,None,"Drama, Fantasy, Horror            ",www.imdb.com/title/tt4685762/
The Shining (1980) ,8.4,"Drama, Horror            ",www.imdb.com/title/tt0081505/
Sleepy Hollow (1999) ,7.3,"Fantasy, Horror, Mystery            ",www.imdb.com/title/tt0162661/
Doctor Sleep (2019) ,7.3,"Drama, Fantasy, Horror            ",www.imdb.com/title/tt5606664/
12 Hour Shift (2020) ,5.2,"Comedy, Horror, Thriller            ",www.imdb.com/title/tt10309552/
Il legame (2020) ,4.6,"Drama, Horror, Thriller            ",www.imdb.com/title/tt10914452/
Midsommar (2019) ,7.1,"Drama, Horror, Mystery            ",www.imdb.com/title/tt8772262/
The New Mutants (2020) ,5.5,"Action, Horror, Sci-Fi            ",www.imdb.com/title/tt4682266/
Saint Maud (2019) ,7.1,"Drama, Horror, Mystery            ",www.imdb.com/title/tt7557108/
Possessor (2020) ,6.5,"Horror, Sci-Fi, Thriller            ",www.imdb.com/title/tt5918982/
The Babysitter (I) (2017) ,6.3,"Comedy, Horror            ",www.imdb.com/title/tt4225622/
The Craft (1996) ,6.4,"Drama, Fantasy, Horror            ",www.imdb.com/title/tt0115963/
The Lighthouse (I) (2019) ,7.5,"Drama, Fantasy, Horror            ",www.imdb.com/title/tt7984734/
The Exorcist (1973) ,8.0,Horror            ,www.imdb.com/title/tt0070047/
It (I) (2017) ,7.3,Horror            ,www.imdb.com/title/tt1396484/
Hereditary (2018) ,7.3,"Drama, Horror, Mystery            ",www.imdb.com/title/tt7784604/
A Nightmare on Elm Street (1984) ,7.5,Horror            ,www.imdb.com/title/tt0087800/
Scream 5 (2022) ,None,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt11245972/
Halloween (I) (2018) ,6.5,"Crime, Horror, Thriller            ",www.imdb.com/title/tt1502407/
House of 1000 Corpses (2003) ,6.1,Horror            ,www.imdb.com/title/tt0251736/
You Should Have Left (2020) ,5.3,"Drama, Horror, Mystery            ",www.imdb.com/title/tt8201852/
Ready or Not (I) (2019) ,6.8,"Comedy, Horror, Mystery            ",www.imdb.com/title/tt7798634/
The Cabin in the Woods (2011) ,7.0,Horror            ,www.imdb.com/title/tt1259521/
Scream (1996) ,7.2,"Horror, Mystery            ",www.imdb.com/title/tt0117571/
Shortcut (II) (2020) ,4.1,"Adventure, Fantasy, Horror            ",www.imdb.com/title/tt8960138/
It Chapter Two (2019) ,6.5,"Drama, Fantasy, Horror            ",www.imdb.com/title/tt7349950/
The Conjuring (2013) ,7.5,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt1457767/
Trick 'r Treat (2007) ,6.8,"Comedy, Horror            ",www.imdb.com/title/tt0862856/
Friday the 13th (1980) ,6.5,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt0080761/
Alien (1979) ,8.4,"Horror, Sci-Fi            ",www.imdb.com/title/tt0078748/
The Lost Boys (1987) ,7.3,"Comedy, Horror            ",www.imdb.com/title/tt0093437/
Get Out (I) (2017) ,7.7,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt5052448/
Dracula (1992) ,7.4,Horror            ,www.imdb.com/title/tt0103874/
The Thing (1982) ,8.1,"Horror, Mystery, Sci-Fi            ",www.imdb.com/title/tt0084787/
Us (II) (2019) ,6.9,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt6857112/
Poltergeist (1982) ,7.3,"Horror, Thriller            ",www.imdb.com/title/tt0084516/
Thir13en Ghosts (2001) ,5.6,"Fantasy, Horror            ",www.imdb.com/title/tt0245674/
Psycho (1960) ,8.5,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt0054215/
The Last House on the Left (2009) ,6.5,"Horror, Thriller            ",www.imdb.com/title/tt0844708/
Friday the 13th (2009) ,5.5,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt0758746/
Train to Busan 2 (2020) ,5.5,"Action, Horror, Thriller            ",www.imdb.com/title/tt8850222/
It Follows (2014) ,6.8,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt3235888/
Ghost Ship (2002) ,5.5,Horror            ,www.imdb.com/title/tt0288477/
The Hunt (II) (2020) ,6.5,"Action, Horror, Thriller            ",www.imdb.com/title/tt8244784/
#Saraitda (2020) ,6.2,"Action, Drama, Horror            ",www.imdb.com/title/tt10620868/
The VVitch: A New-England Folktale (2015) ,6.9,"Drama, Horror, Mystery            ",www.imdb.com/title/tt4263482/
Fantasy Island (2020) ,4.9,"Action, Adventure, Fantasy            ",www.imdb.com/title/tt0983946/
The Lodge (2019) ,6.0,"Drama, Horror, Thriller            ",www.imdb.com/title/tt7347846/
Halloween (2007) ,6.1,Horror            ,www.imdb.com/title/tt0373883/
Follow Me (2020) ,5.4,"Adventure, Horror, Thriller            ",www.imdb.com/title/tt8160834/
A Quiet Place (2018) ,7.5,"Drama, Horror, Sci-Fi            ",www.imdb.com/title/tt6644200/
Island of Terror (1966) ,6.2,"Horror, Sci-Fi            ",www.imdb.com/title/tt0060548/
The Haunted Mansion (2003) ,5.0,"Comedy, Family, Fantasy            ",www.imdb.com/title/tt0338094/
Suspiria (I) (2018) ,6.8,"Fantasy, Horror, Mystery            ",www.imdb.com/title/tt1034415/
Jennifer's Body (2009) ,5.2,"Comedy, Horror            ",www.imdb.com/title/tt1131734/
Fright Night (1985) ,7.1,"Fantasy, Horror, Thriller            ",www.imdb.com/title/tt0089175/
Halloween Kills (2021) ,None,"Horror, Thriller            ",www.imdb.com/title/tt10665338/
The Texas Chain Saw Massacre (1974) ,7.5,Horror            ,www.imdb.com/title/tt0072271/
The Evil Dead (1981) ,7.5,Horror            ,www.imdb.com/title/tt0083907/
Carrie (1976) ,7.4,Horror            ,www.imdb.com/title/tt0074285/
House at the End of the Street (2012) ,5.6,"Drama, Horror, Thriller            ",www.imdb.com/title/tt1582507/
The Fly (1986) ,7.6,"Drama, Horror, Sci-Fi            ",www.imdb.com/title/tt0091064/
Nishabdham (2020) ,3.8,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt9605894/
Insidious (I) (2010) ,6.8,"Horror, Mystery, Thriller            ",www.imdb.com/title/tt1591095/
I See You (II) (2019) ,6.8,"Crime, Drama, Horror            ",www.imdb.com/title/tt6079516/
Venom: Let There Be Carnage (2021) ,None,"Action, Horror, Sci-Fi            ",www.imdb.com/title/tt7097896/
